Load Report FULLS IN;;;;;;;;;;;;;;;;;;;;;;;;;
Steering partner name;Business case;Freight mode;Load ID;Leg number;Transport end [date time];Transport mode;Transport order ID;Carrier company name;;Consignor location name;Recipient location name;Truck plate number;Trailer plate number;;Driver name;Driver contact;1st status in process;Pickup [date];Pickup times;Delivery [date];Delivery times;Handling unit quantity (TO);Current status name (TO);Current status name (Load);
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239598;1;06.08.2015 09:00;FTL;VE01984686;123261 - LGI Logistics Group International GmbH.;42;97166418 | Johnson Matthey Battery Systems Sp. z o;97032713 | Logicon Invest Magyarország Kft;SK4907Y;SK6738Y;0;;;03.08.2015 10:33;04.08.2015;15:00 - 15:00;06.08.2015;09:00 - 09:00;50;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239874;1;10.08.2015 03:00;LTL;VE01993010;97053356 - GEFCO Hungary;48;453832 | Haerter Technicka Wytlaczania Sp. Z.O.O.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 10:35;05.08.2015;08:00 - 20:00;10.08.2015;02:00 - 03:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240052;2;07.08.2015 00:01;HUB;VE01992586;123261 - LGI Logistics Group International GmbH.;48;1742 | St Stanztechnik Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;NBR-908;XYP-812;0;;;04.08.2015 07:37;05.08.2015;07:00 - 16:00;07.08.2015;00:00 - 04:00;1;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240314;2;08.08.2015 02:00;HUB;VE01992547;123261 - LGI Logistics Group International GmbH.;48;27769 | Paul Vieth Kg;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;04.08.2015 09:27;05.08.2015;08:00 - 15:00;08.08.2015;00:00 - 04:00;1;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239613;1;06.08.2015 13:00;LTL;VE01984477;123261 - LGI Logistics Group International GmbH.;48;1900007778 | Ejot Austria Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;31.07.2015 11:38;04.08.2015;08:00 - 16:00;06.08.2015;12:00 - 13:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239850;1;10.08.2015 15:00;LTL;VE01993117;97303889 - EKOL Logistics Kft.;48;364268 | ARSLAN METAL PLASTIK;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;03.08.2015 13:02;05.08.2015;08:00 - 16:00;10.08.2015;14:00 - 15:00;17;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240052;2;07.08.2015 00:01;HUB;VE01992448;123261 - LGI Logistics Group International GmbH.;48;7913 | Klein Kunststofftechnik GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;NBR-908;XYP-812;0;;;03.08.2015 15:00;05.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;34;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240444;2;07.08.2015 15:00;FTL;VE01975327;97303889 - EKOL Logistics Kft.;48;648288-01 | Industrial Vilassarenca, SA;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;31.07.2015 09:16;03.08.2015;06:00 - 14:00;07.08.2015;10:00 - 15:00;2;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239398;1;07.08.2015 11:00;LTL;VE01975000;97303889 - EKOL Logistics Kft.;48;135595 | Productos J.V., S.L.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;31.07.2015 10:30;03.08.2015;08:00 - 17:00;07.08.2015;10:00 - 11:00;2;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239870;1;10.08.2015 03:00;LTL;VE01993220;97053356 - GEFCO Hungary;48;180104 | Maugo Poland Sp. Z O.O.;97311161 | Europa Center Miskolc Uzleti es L. P.;KDA1H79/KDA28WR;;19;Daniel Bojko;"ARY854644	606960155";03.08.2015 17:26;05.08.2015;08:00 - 21:00;10.08.2015;02:00 - 03:00;40;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239461;1;07.08.2015 01:00;MR;VE01975036;97213980 - Waberer's International Zrt.;48;666714 | Talleres Maugo;3000 | Robert Bosch Energy and Body Systems Kft.;MWV962;WAG912;0;;;31.07.2015 07:15;03.08.2015;11:00 - 13:00;07.08.2015;00:00 - 01:00;6;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;10014634;123261 - LGI Logistics Group International GmbH.;48;226 | Fastenrath Befestigugstechnik Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;03.08.2015 11:48;04.08.2015;08:00 - 15:00;07.08.2015;00:00 - 23:59;9;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;VE01984068;123261 - LGI Logistics Group International GmbH.;48;31 | Skf Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;03.08.2015 10:03;04.08.2015;08:00 - 18:00;07.08.2015;00:00 - 04:00;7;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239378;1;07.08.2015 21:00;LTL;10014549;97303889 - EKOL Logistics Kft.;34;660114 | Fundicion Inyectada Badalona S.A.;97178139 | Eckerle Automotive Kft.;;;0;;;31.07.2015 11:23;03.08.2015;07:30 - 13:30;07.08.2015;09:00 - 21:00;5;Billingcase created;Billingcase created;19
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239384;1;07.08.2015 11:00;LTL;VE01974997;97303889 - EKOL Logistics Kft.;48;661015 | Brugarolas S.A.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;31.07.2015 08:05;03.08.2015;08:00 - 13:00;07.08.2015;10:00 - 11:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239383;1;07.08.2015 15:00;LTL;VE01974998;97303889 - EKOL Logistics Kft.;48;661461 | Aldetu, S.A.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;30.07.2015 11:47;03.08.2015;08:00 - 18:00;07.08.2015;14:00 - 15:00;4;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239375;1;07.08.2015 11:00;LTL;VE01975001;97303889 - EKOL Logistics Kft.;48;648288 | Industrial Vilassarenca, SA;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;31.07.2015 09:13;03.08.2015;06:00 - 14:00;07.08.2015;10:00 - 11:00;3;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239387;1;07.08.2015 11:00;LTL;VE01975002;97303889 - EKOL Logistics Kft.;48;125406 | Tadesan;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;31.07.2015 08:47;03.08.2015;08:00 - 17:30;07.08.2015;10:00 - 11:00;2;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240443;2;07.08.2015 15:00;FTL;VE01975329;97303889 - EKOL Logistics Kft.;48;660440 | Nagamohr, S.A.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;31.07.2015 08:39;03.08.2015;08:00 - 16:00;07.08.2015;14:00 - 15:00;11;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240357;1;10.08.2015 09:00;FTL;VE01995887;123261 - LGI Logistics Group International GmbH.;42;97166418 | Johnson Matthey Battery Systems Sp. z o;97032713 | Logicon Invest Magyarország Kft;;;0;;;06.08.2015 08:43;07.08.2015;15:00 - 15:00;10.08.2015;09:00 - 09:00;29;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239815;2;05.08.2015 22:00;HUB;10014503;670331 - Ghibli Szállítmányozási Kft.;48;4010 | Schumacher Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MYD - 817;WAF - 788;0;;;31.07.2015 08:10;03.08.2015;08:00 - 16:00;06.08.2015;00:00 - 04:00;14;Billingcase created;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239384;1;07.08.2015 11:00;LTL;10014502;97303889 - EKOL Logistics Kft.;48;661015 | Brugarolas S.A.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;31.07.2015 08:09;03.08.2015;08:00 - 13:00;07.08.2015;10:00 - 11:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239804;2;06.08.2015 00:01;HUB;10014627;123261 - LGI Logistics Group International GmbH.;48;134671 | R.E.T.;3000 | Robert Bosch Energy and Body Systems Kft.;MPJ 462;WAE679;0;;;03.08.2015 11:07;04.08.2015;08:00 - 16:00;06.08.2015;00:00 - 04:00;2;Billingcase created;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239815;2;05.08.2015 22:00;HUB;10014523;670331 - Ghibli Szállítmányozási Kft.;48;1089 | PUCARO GMBH c/o Spedition Rüdiger;3000 | Robert Bosch Energy and Body Systems Kft.;MYD - 817;WAF - 788;0;;;31.07.2015 10:02;03.08.2015;08:00 - 17:00;06.08.2015;00:00 - 04:00;1;Billingcase created;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239476;1;07.08.2015 10:00;FTL;10014561;123261 - LGI Logistics Group International GmbH.;48;364268 | 02 | ARSLAN METAL PLASTIK;3000 | Robert Bosch Energy and Body Systems Kft.;PB2831BC;PB3228EH;0;;;31.07.2015 13:28;03.08.2015;08:00 - 16:00;07.08.2015;08:00 - 10:00;47;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239804;2;06.08.2015 00:01;HUB;10014610;123261 - LGI Logistics Group International GmbH.;48;7938 | Scheuermann+Heilig GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MPJ 462;WAE679;0;;;03.08.2015 10:39;04.08.2015;07:00 - 15:30;06.08.2015;00:00 - 23:59;7;Billingcase created;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239804;2;06.08.2015 00:01;HUB;10014626;123261 - LGI Logistics Group International GmbH.;48;134671 | R.E.T.;3000 | Robert Bosch Energy and Body Systems Kft.;MPJ 462;WAE679;0;;;03.08.2015 11:03;04.08.2015;08:00 - 16:00;06.08.2015;00:00 - 04:00;4;Billingcase created;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239630;1;07.08.2015 19:00;LTL;VER1983469;670331 - Ghibli Szállítmányozási Kft.;48;97099152 | FONTANAFREDDA COLD FORGING SRL;3000 | Robert Bosch Energy and Body Systems Kft.;MJH-075;XVK-002;0;;;31.07.2015 17:42;04.08.2015;14:00 - 16:00;07.08.2015;18:00 - 19:00;21;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240372;1;13.08.2015 15:00;LTL;VE01995628;97303889 - EKOL Logistics Kft.;48;134631 | Elsi Elektrik Sist.San.Tic.Ltd.ªti.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;05.08.2015 14:18;07.08.2015;08:00 - 18:00;13.08.2015;14:00 - 15:00;1;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240369;1;10.08.2015 20:30;LTL;VE01995660;670331 - Ghibli Szállítmányozási Kft.;48;1900060083 | Aspel Slovakia s.r.o.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;06.08.2015 08:57;07.08.2015;06:00 - 22:00;10.08.2015;19:30 - 20:30;10;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240051;2;06.08.2015 22:00;HUB;10014676;670331 - Ghibli Szállítmányozási Kft.;48;130 | Hala Dichtungen und Isolierteile GmbH&Co. KG;3000 | Robert Bosch Energy and Body Systems Kft.;MPS 030;XZV 351;0;;;04.08.2015 09:46;05.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;1;Goods Receipt handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240315;2;08.08.2015 01:00;HUB;10014785;123261 - LGI Logistics Group International GmbH.;48;7938 | Scheuermann+Heilig GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MZG280;WAE652;0;;;05.08.2015 10:43;06.08.2015;08:00 - 16:00;08.08.2015;00:00 - 04:00;10;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240442;1;08.08.2015 01:00;FTL;VE01995763;670331 - Ghibli Szállítmányozási Kft.;48;97099369-02 | PREC-CAST Öntödei Kft.;3000 | Robert Bosch Energy and Body Systems Kft.;MHK-529;XVL-367;0;;;06.08.2015 08:54;07.08.2015;13:00 - 14:00;08.08.2015;00:00 - 01:00;4;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240456;1;08.08.2015 09:30;MR;VE01995739;97285181 - EuroCargo Express;48;639476 | SFS intec Kft.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;06.08.2015 07:49;07.08.2015;17:00 - 19:00;08.08.2015;08:30 - 09:30;66;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240315;2;08.08.2015 01:00;HUB;10014652;123261 - LGI Logistics Group International GmbH.;48;123785 | Fischer & Plath Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MZG280;WAE652;0;;;04.08.2015 07:22;05.08.2015;08:00 - 16:00;08.08.2015;00:00 - 04:00;1;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239929;1;06.08.2015 01:00;MR;VE01993064;670331 - Ghibli Szállítmányozási Kft.;48;453538 | Heiche Hungary Bt.;3000 | Robert Bosch Energy and Body Systems Kft.;MHK-529;XVL-367;0;;;04.08.2015 08:02;05.08.2015;12:00 - 13:30;06.08.2015;00:00 - 01:00;10;Billingcase created;Billingcase created;19
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;VE01992622;123261 - LGI Logistics Group International GmbH.;48;549-02 | Krempel Gmbh Kuppenheim;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;04.08.2015 08:41;05.08.2015;08:00 - 16:30;07.08.2015;00:00 - 04:00;6;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239804;2;06.08.2015 00:01;HUB;VE01974835;123261 - LGI Logistics Group International GmbH.;48;20677 | Sinterwerke Herne GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MPJ 462;WAE679;0;;;31.07.2015 10:10;03.08.2015;08:00 - 16:00;06.08.2015;00:00 - 04:00;5;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239845;1;06.08.2015 18:00;FTL;VE01992923;123261 - LGI Logistics Group International GmbH.;48;631099 | Metaldyne Oslavany, spol. s r.o.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 09:35;05.08.2015;18:00 - 18:00;06.08.2015;18:00 - 18:00;18;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239880;1;10.08.2015 19:00;LTL;VE01993120;670331 - Ghibli Szállítmányozási Kft.;48;26728 | MAP SPA MECCANICA ALTA PRECISIONE;3000 | Robert Bosch Energy and Body Systems Kft.;MKT-355;;0;;;04.08.2015 09:09;05.08.2015;09:00 - 17:00;10.08.2015;18:00 - 19:00;9;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239936;1;06.08.2015 15:00;LTL;VE01992921;670331 - Ghibli Szállítmányozási Kft.;48;87074 | Linaset, a.s.;3000 | Robert Bosch Energy and Body Systems Kft.;KCZ-219;XYB-584;0;;;04.08.2015 09:33;05.08.2015;08:00 - 10:00;06.08.2015;14:00 - 15:00;62;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239894;1;10.08.2015 19:00;LTL;VER1984936;670331 - Ghibli Szállítmányozási Kft.;48;97099152 | FONTANAFREDDA COLD FORGING SRL;3000 | Robert Bosch Energy and Body Systems Kft.;MYC-956;;0;;;04.08.2015 10:13;05.08.2015;14:00 - 16:00;10.08.2015;18:00 - 19:00;10;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;VE01992461;123261 - LGI Logistics Group International GmbH.;48;72 | Benzing Kg;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;04.08.2015 10:24;05.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;2;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239852;1;06.08.2015 19:00;LTL;VE01992907;670331 - Ghibli Szállítmányozási Kft.;48;97241039 | EUROTEC k. s.;3000 | Robert Bosch Energy and Body Systems Kft.;MTX-902;;0;;;04.08.2015 10:37;05.08.2015;06:00 - 18:00;06.08.2015;18:00 - 19:00;12;consignment collected;Load collected;14
