Load Report FULLS IN;;;;;;;;;;;;;;;;;;;;;;;;;
Steering partner name;Business case;Freight mode;Load ID;Leg number;Transport end [date time];Transport mode;Transport order ID;Carrier company name;;Consignor location name;Recipient location name;Truck plate number;Trailer plate number;;Driver name;Driver contact;1st status in process;Pickup [date];Pickup times;Delivery [date];Delivery times;Handling unit quantity (TO);Current status name (TO);Current status name (Load);
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240054;2;07.08.2015 02:00;HUB;10014573;123261 - LGI Logistics Group International GmbH.;48;12394-02 | Schulte & Schmidt;3000 | Robert Bosch Energy and Body Systems Kft.;MZG284;WAE679;0;;;03.08.2015 07:39;04.08.2015;14:00 - 15:30;07.08.2015;00:00 - 04:00;2;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240126;1;07.08.2015 17:00;FTL;VE01994302;97213980 - Waberer's International Zrt.;48;888089 | Robert Bosch GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MTT-322;WAD-658;0;Korcsok Ferenc / Fehér Mátyás;;05.08.2015 07:32;06.08.2015;19:00 - 19:00;07.08.2015;16:00 - 17:00;66;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239610;1;10.08.2015 21:00;LTL;VE01984496;97303889 - EKOL Logistics Kft.;34;660114 | Fundicion Inyectada Badalona S.A.;97178139 | Eckerle Automotive Kft.;;;0;;;03.08.2015 09:46;04.08.2015;07:30 - 13:30;10.08.2015;09:00 - 21:00;5;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240427;1;13.08.2015 21:00;LTL;10014871;97303889 - EKOL Logistics Kft.;34;97216525 | Forta Coldtech S.L.;97178139 | Eckerle Automotive Kft.;;;0;;;06.08.2015 11:01;07.08.2015;08:00 - 17:30;13.08.2015;09:00 - 21:00;1;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240127;1;10.08.2015 21:00;FTL;10014757;97055236 - DHL Freight Magyarország Kft.;48;97059919 | Graform;3000 | Robert Bosch Energy and Body Systems Kft.;LWC652;NZ963YM;0;;;05.08.2015 08:57;06.08.2015;19:00 - 20:00;10.08.2015;20:00 - 21:00;90;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240524;2;11.08.2015 00:01;HUB;10014740;123261 - LGI Logistics Group International GmbH.;48;68790 | Andress Gmbh & Co.Kg;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;05.08.2015 07:12;06.08.2015;08:00 - 16:00;11.08.2015;00:00 - 04:00;1;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240523;2;08.08.2015 22:00;HUB;VE01993911;670331 - Ghibli Szállítmányozási Kft.;48;632505 | Ukm Fahrzeugteile Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MYD - 817;WAF - 788;0;;;05.08.2015 10:59;06.08.2015;10:00 - 14:00;11.08.2015;00:00 - 04:00;17;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240315;2;08.08.2015 01:00;HUB;VE01992544;123261 - LGI Logistics Group International GmbH.;48;11625 | Alfred Kron Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MZG280;WAE652;0;;;04.08.2015 10:04;05.08.2015;07:00 - 15:00;08.08.2015;00:00 - 04:00;21;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239618;1;10.08.2015 21:00;LTL;VE01984517;97303889 - EKOL Logistics Kft.;34;97216525 | Forta Coldtech S.L.;97178139 | Eckerle Automotive Kft.;;;0;;;03.08.2015 10:54;04.08.2015;08:00 - 17:30;10.08.2015;09:00 - 21:00;7;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239916;1;10.08.2015 03:00;LTL;10014725;97053356 - GEFCO Hungary;48;97181784 | LWW Œl¹ska;3000 | Robert Bosch Energy and Body Systems Kft.;SBE57400/SBEHY60;;20;S£AWOMIR NADROWSKI;"AMW090081 	535966026";04.08.2015 11:38;05.08.2015;08:00 - 16:00;10.08.2015;02:00 - 03:00;16;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239846;1;06.08.2015 20:00;FTL;VE01993109;123261 - LGI Logistics Group International GmbH.;48;888885 |  ROBERT BOSCH GMBH;3000 | Robert Bosch Energy and Body Systems Kft.;MVE123;RTZD760;0;;;04.08.2015 10:52;05.08.2015;18:00 - 19:00;06.08.2015;19:00 - 20:00;60;delivered;Load delivered;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239804;2;06.08.2015 00:01;HUB;VE01984237;123261 - LGI Logistics Group International GmbH.;48;8849 | Morat & Co. Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MPJ 462;WAE679;0;;;03.08.2015 10:47;04.08.2015;08:00 - 16:00;06.08.2015;00:00 - 04:00;10;Billingcase created;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239898;1;11.08.2015 21:00;LTL;VE01992971;97303889 - EKOL Logistics Kft.;34;78194 | Nopatra, S.A.;97178139 | Eckerle Automotive Kft.;;;0;;;03.08.2015 18:22;05.08.2015;15:00 - 18:00;11.08.2015;09:00 - 21:00;8;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239875;1;11.08.2015 21:00;LTL;VE01992972;97303889 - EKOL Logistics Kft.;34;97025340 | Sandhar Spain;97178139 | Eckerle Automotive Kft.;;;0;;;04.08.2015 10:04;05.08.2015;08:00 - 20:00;11.08.2015;09:00 - 21:00;3;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239881;1;12.08.2015 18:00;LTL;VE01992918;97303889 - EKOL Logistics Kft.;48;83225-01 | Mecanizados Bravo & Bippus S. L.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 10:02;05.08.2015;09:00 - 17:00;12.08.2015;17:00 - 18:00;6;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240313;2;08.08.2015 00:01;HUB;VE01993867;123261 - LGI Logistics Group International GmbH.;48;97041987 | Beco;3000 | Robert Bosch Energy and Body Systems Kft.;MTT864;RTZD239;0;;;05.08.2015 10:22;06.08.2015;08:00 - 16:00;08.08.2015;00:00 - 04:00;6;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240313;2;08.08.2015 00:01;HUB;VE01993785;123261 - LGI Logistics Group International GmbH.;48;2633 | MAHLE Motorkomponenten GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MTT864;RTZD239;0;;;05.08.2015 10:01;06.08.2015;08:00 - 16:00;08.08.2015;00:00 - 04:00;4;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240341;1;13.08.2015 11:00;LTL;10014808;97303889 - EKOL Logistics Kft.;48;666714 | Talleres Maugo;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;06.08.2015 07:25;07.08.2015;08:00 - 18:30;13.08.2015;10:00 - 11:00;27;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239869;1;10.08.2015 03:00;LTL;VE01992956;97053356 - GEFCO Hungary;48;1900201510 | Altia Group (Galwo Machining);3000 | Robert Bosch Energy and Body Systems Kft.;SO77130;SO52798;23;Artur Wróbel;"AYE721514    	506044502";04.08.2015 10:26;05.08.2015;08:00 - 16:00;10.08.2015;02:00 - 03:00;10;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240054;2;07.08.2015 02:00;HUB;10014569;123261 - LGI Logistics Group International GmbH.;48;2147 | EJOT GmbH & Co. KG;3000 | Robert Bosch Energy and Body Systems Kft.;MZG284;WAE679;0;;;31.07.2015 14:31;04.08.2015;07:00 - 16:00;07.08.2015;00:00 - 23:59;1;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240054;2;07.08.2015 02:00;HUB;VE01992455;123261 - LGI Logistics Group International GmbH.;48;41292 | Schneider & Gemsa GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MZG284;WAE679;0;;;03.08.2015 14:52;05.08.2015;07:00 - 15:30;07.08.2015;00:00 - 04:00;7;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240524;2;11.08.2015 00:01;HUB;10014755;123261 - LGI Logistics Group International GmbH.;48;4010 | Schumacher Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;05.08.2015 08:50;06.08.2015;07:00 - 15:00;11.08.2015;00:00 - 04:00;1;consignment collected;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240098;2;07.08.2015 10:00;HUB;10014508;123261 - LGI Logistics Group International GmbH.;48;97205436 | Wirthwein Crimmitschau Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MVE-127;7890;0;;;31.07.2015 08:31;04.08.2015;08:00 - 14:30;07.08.2015;00:00 - 04:00;48;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239628;1;12.08.2015 15:00;LTL;10014614;97303889 - EKOL Logistics Kft.;48;126364 | Micro Plasticos Sa;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;03.08.2015 10:46;04.08.2015;09:00 - 18:00;12.08.2015;14:00 - 15:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;VE01984077;123261 - LGI Logistics Group International GmbH.;48;4010 | Schumacher Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;03.08.2015 07:55;04.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;2;Goods Receipt handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240163;1;12.08.2015 11:00;LTL;10014761;97303889 - EKOL Logistics Kft.;48;52554 | Robert Bosch Espa?a Fábrica Castellet, S.A;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;05.08.2015 09:18;06.08.2015;15:00 - 16:00;12.08.2015;10:00 - 11:00;78;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240146;1;12.08.2015 21:00;LTL;10014767;97303889 - EKOL Logistics Kft.;34;94320 | Matz-Erreka, S. Coop.;97178139 | Eckerle Automotive Kft.;;;0;;;05.08.2015 09:38;06.08.2015;08:00 - 16:00;12.08.2015;09:00 - 21:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240314;2;08.08.2015 02:00;HUB;10014731;123261 - LGI Logistics Group International GmbH.;48;1089 | PUCARO GMBH c/o Spedition Rüdiger;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;04.08.2015 13:51;05.08.2015;08:00 - 17:00;08.08.2015;00:00 - 04:00;1;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240120;1;07.08.2015 11:00;FTL;VER1993372;123261 - LGI Logistics Group International GmbH.;48;97229256 | Schulte And Schmidt Srl;3000 | Robert Bosch Energy and Body Systems Kft.;SM08PBB;SM45PBB;0;;;05.08.2015 08:50;06.08.2015;11:00 - 12:00;07.08.2015;10:00 - 11:00;36;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240181;1;06.08.2015 16:00;MR;10014811;97285181 - EuroCargo Express;48;14483-01 | Helmut Hechinger GmbH & Co.KG;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;05.08.2015 12:32;06.08.2015;09:00 - 11:00;06.08.2015;15:00 - 16:00;7;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240052;2;07.08.2015 00:01;HUB;10014400;123261 - LGI Logistics Group International GmbH.;48;97075994 | AVO Carbon Germany GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;NBR-908;XYP-812;0;;;29.07.2015 13:42;04.08.2015;07:00 - 15:00;07.08.2015;00:00 - 04:00;1;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240054;2;07.08.2015 02:00;HUB;10014703;123261 - LGI Logistics Group International GmbH.;48;134671 | R.E.T.;3000 | Robert Bosch Energy and Body Systems Kft.;MZG284;WAE679;0;;;04.08.2015 10:48;05.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;4;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;VE01992449;123261 - LGI Logistics Group International GmbH.;48;6692 | Kummer GmbH & Co. KG;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;04.08.2015 09:36;05.08.2015;08:00 - 15:00;07.08.2015;00:00 - 04:00;2;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240312;2;07.08.2015 22:00;HUB;10014710;670331 - Ghibli Szállítmányozási Kft.;48;660 | Lang & Menke GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MYD - 819;WAD-212;0;;;04.08.2015 10:56;05.08.2015;08:00 - 16:00;08.08.2015;00:00 - 04:00;31;Goods Receipt handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240363;1;08.08.2015 17:00;FTL;VE01995633;97213980 - Waberer's International Zrt.;48;888089 | Robert Bosch GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MTT-323;WAG-944;0;Kis Imre/Klemon Sándor;;06.08.2015 07:55;07.08.2015;19:00 - 19:00;08.08.2015;16:00 - 17:00;66;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240375;1;12.08.2015 15:00;LTL;VE01995815;97303889 - EKOL Logistics Kft.;48;364268 | ARSLAN METAL PLASTIK;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;06.08.2015 08:34;07.08.2015;08:00 - 16:00;12.08.2015;14:00 - 15:00;11;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239355;1;06.08.2015 17:00;FTL;VE01975342;97055236 - DHL Freight Magyarország Kft.;48;53242 |  Eurotranciatura S.P.A.;3000 | Robert Bosch Energy and Body Systems Kft.;NAM705;WAH191;0;;;31.07.2015 11:14;04.08.2015;08:30 - 17:00;06.08.2015;16:00 - 17:00;23;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239847;1;06.08.2015 17:00;FTL;VE01992925;97213980 - Waberer's International Zrt.;48;888089 | Robert Bosch GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MTT-323;WAG-944;0;Rézmûves Lajos/RézmûvesRichárd;;04.08.2015 08:41;05.08.2015;19:00 - 19:00;06.08.2015;16:00 - 17:00;66;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239804;2;06.08.2015 00:01;HUB;10014616;123261 - LGI Logistics Group International GmbH.;48;447 | Kienle + Spiess;3000 | Robert Bosch Energy and Body Systems Kft.;MPJ 462;WAE679;0;;;03.08.2015 10:46;04.08.2015;13:00 - 18:00;06.08.2015;00:00 - 04:00;1;Billingcase created;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239804;2;06.08.2015 00:01;HUB;10014560;123261 - LGI Logistics Group International GmbH.;48;11005 | Springtec Loew GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MPJ 462;WAE679;0;;;31.07.2015 13:15;03.08.2015;08:00 - 16:00;06.08.2015;00:00 - 04:00;5;Billingcase created;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240368;1;08.08.2015 19:00;LTL;VE01995608;670331 - Ghibli Szállítmányozási Kft.;48;97241039 | EUROTEC k. s.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;06.08.2015 10:12;07.08.2015;06:00 - 18:00;08.08.2015;18:00 - 19:00;7;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239400;1;07.08.2015 21:00;LTL;VE01975056;97303889 - EKOL Logistics Kft.;34;14242 |  TEKNIA MANRESA S.L.U;97178139 | Eckerle Automotive Kft.;;;0;;;31.07.2015 09:48;03.08.2015;08:00 - 16:00;07.08.2015;09:00 - 21:00;5;Billingcase created;Billingcase created;19
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239929;1;06.08.2015 01:00;MR;VE01993063;670331 - Ghibli Szállítmányozási Kft.;48;97073589 | S. C. ZES Zollner Electronic SRL;3000 | Robert Bosch Energy and Body Systems Kft.;MHK-529;XVL-367;0;;;04.08.2015 09:41;05.08.2015;17:00 - 18:00;06.08.2015;00:00 - 01:00;307;Billingcase created;Billingcase created;19
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240517;1;08.08.2015 09:30;MR;10014758;97285181 - EuroCargo Express;48;97230047 | MG Hungary KFT.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;05.08.2015 09:05;07.08.2015;14:00 - 16:00;08.08.2015;08:30 - 09:30;10;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240517;1;08.08.2015 09:30;MR;VE01995740;97285181 - EuroCargo Express;48;97012641 | VT PLASTIC GYARTO KFT.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;06.08.2015 08:41;07.08.2015;17:00 - 19:00;08.08.2015;08:30 - 09:30;3;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240054;2;07.08.2015 02:00;HUB;VE01992474;123261 - LGI Logistics Group International GmbH.;48;73659-02 | Ims - Gear Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MZG284;WAE679;0;;;04.08.2015 10:53;05.08.2015;07:30 - 16:00;07.08.2015;00:00 - 04:00;7;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240143;1;12.08.2015 11:00;LTL;VE01994377;97303889 - EKOL Logistics Kft.;48;127750-01 | Electrical Components Int, Exp. Center;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;05.08.2015 09:31;06.08.2015;08:00 - 18:00;12.08.2015;10:00 - 11:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240138;1;12.08.2015 11:00;LTL;VE01994280;97303889 - EKOL Logistics Kft.;48;71055 | INDUSTRIAS EKA S.A.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;05.08.2015 09:04;06.08.2015;07:00 - 17:00;12.08.2015;10:00 - 11:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240134;1;12.08.2015 15:00;LTL;VE01994286;97303889 - EKOL Logistics Kft.;48;660309 | Labin;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;05.08.2015 08:39;06.08.2015;07:00 - 13:30;12.08.2015;14:00 - 15:00;4;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240531;1;08.08.2015 09:00;MR;10014881;97285181 - EuroCargo Express;48;125665-01 | Atlanta Elektrosysteme GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;06.08.2015 11:44;07.08.2015;13:00 - 14:00;08.08.2015;08:00 - 09:00;4;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;VE01983990;123261 - LGI Logistics Group International GmbH.;48;97186049 | Shin-Etsu Magnetics Europe GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;31.07.2015 15:50;04.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;1;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239862;1;10.08.2015 03:00;LTL;VE01992949;97053356 - GEFCO Hungary;48;97228001-01 | Christophery;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 10:52;05.08.2015;07:00 - 15:00;10.08.2015;02:00 - 03:00;23;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239925;1;06.08.2015 07:30;FTL;VE01993041;97285181 - EuroCargo Express;48;97215018 | Mecanizados Auxim S.R.L.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 09:00;05.08.2015;11:00 - 13:00;06.08.2015;06:30 - 07:30;27;delivered;Load delivered;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239084;1;07.08.2015 15:00;LTL;VE01964680;97303889 - EKOL Logistics Kft.;48;661422 | Industrias Cantabras de Torneado SR;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;29.07.2015 10:43;30.07.2015;16:00 - 17:00;07.08.2015;14:00 - 15:00;16;Billingcase created;Billingcase created;19
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239373;1;07.08.2015 21:00;LTL;VE01975063;97303889 - EKOL Logistics Kft.;34;648288 | Industrial Vilassarenca, SA;97178139 | Eckerle Automotive Kft.;;;0;;;31.07.2015 09:12;03.08.2015;06:00 - 14:00;07.08.2015;09:00 - 21:00;7;Billingcase created;Billingcase created;19
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240394;1;12.08.2015 03:00;LTL;VE01995666;97053356 - GEFCO Hungary;48;636093 | Pol-Elektra Sp. Z.O.O.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;06.08.2015 10:46;07.08.2015;08:00 - 16:00;12.08.2015;02:00 - 03:00;3;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239662;1;06.08.2015 12:30;MR;VE01984451;125196 - Horváth Rudolf Intertransport Kft.;48;14823 | Egon Grosshaus GmbH & Co. KG;3000 | Robert Bosch Energy and Body Systems Kft.;MCR-304;WAE-687;0;;;03.08.2015 09:16;04.08.2015;11:00 - 12:00;06.08.2015;11:30 - 12:30;5;delivered;Load delivered;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240360;1;08.08.2015 04:00;FTL;VE01995673;97055236 - DHL Freight Magyarország Kft.;48;97185965 | Brixiapress, s.r.o.;3000 | Robert Bosch Energy and Body Systems Kft.;MGC125;XZF338;0;;;06.08.2015 10:54;07.08.2015;15:00 - 17:00;08.08.2015;00:00 - 04:00;99;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240422;1;07.08.2015 16:00;MR;VE01995867;97285181 - EuroCargo Express;48;14483-01 | Helmut Hechinger GmbH & Co.KG;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;06.08.2015 10:57;07.08.2015;09:00 - 11:00;07.08.2015;15:00 - 16:00;10;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239397;1;07.08.2015 21:00;LTL;VE01975067;97303889 - EKOL Logistics Kft.;34;135595 | Productos J.V., S.L.;97178139 | Eckerle Automotive Kft.;;;0;;;31.07.2015 10:23;03.08.2015;08:00 - 16:00;07.08.2015;09:00 - 21:00;7;Billingcase created;Billingcase created;19
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239947;1;06.08.2015 07:30;MR;VE01993039;97285181 - EuroCargo Express;48;97095032 | SC Decoletaje & Conjuntos SRL;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 09:12;05.08.2015;16:00 - 17:00;06.08.2015;06:30 - 07:30;6;delivered;Load delivered;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239947;1;06.08.2015 07:30;MR;VE01993040;97285181 - EuroCargo Express;48;97183693-02 | Mecanor Rumania, S.R.L.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 09:22;05.08.2015;13:00 - 14:00;06.08.2015;06:30 - 07:30;10;goods receipt;Load delivered;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240185;1;08.08.2015 09:00;FTL;10014791;91000 - LOXX Pan Europa GmbH;48;7938 | Scheuermann+Heilig GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;Moj 345/Wxv 791;;0;;;05.08.2015 10:49;06.08.2015;08:00 - 16:00;08.08.2015;08:00 - 09:00;37;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239856;1;10.08.2015 19:00;LTL;10014682;670331 - Ghibli Szállítmányozási Kft.;48;97185964 | Eucasting Ro;3000 | Robert Bosch Energy and Body Systems Kft.;LRM-093;XUT-566;0;;;04.08.2015 10:00;05.08.2015;08:00 - 16:00;10.08.2015;18:00 - 19:00;99;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240119;1;07.08.2015 08:00;FTL;VE01994301;97213980 - Waberer's International Zrt.;48;888089 | Robert Bosch GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MTT-321;WAG-981;0;Rézmûves Lajos/RézmûvesRichárd;;05.08.2015 07:32;06.08.2015;10:00 - 10:00;07.08.2015;07:00 - 08:00;66;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239871;1;06.08.2015 19:00;LTL;VE01992906;670331 - Ghibli Szállítmányozási Kft.;48;39899 | Rompa CZ;3000 | Robert Bosch Energy and Body Systems Kft.;GA-291EB;;0;;;04.08.2015 10:22;05.08.2015;08:00 - 13:00;06.08.2015;18:00 - 19:00;5;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239853;1;06.08.2015 19:00;LTL;VE01992909;670331 - Ghibli Szállítmányozási Kft.;48;18156 | Laird Technologies GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;FJP-431;;0;;;04.08.2015 08:58;05.08.2015;06:30 - 21:00;06.08.2015;18:00 - 19:00;5;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240524;2;11.08.2015 00:01;HUB;10014832;123261 - LGI Logistics Group International GmbH.;48;8849 | Morat & Co. Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;06.08.2015 08:52;07.08.2015;08:00 - 16:00;11.08.2015;00:00 - 04:00;3;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240524;2;11.08.2015 00:01;HUB;10014772;123261 - LGI Logistics Group International GmbH.;48;16068 | Balkhausen Division of Boyd Gmbh &Co KG;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;05.08.2015 09:52;06.08.2015;06:00 - 22:00;11.08.2015;00:00 - 04:00;1;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240523;2;08.08.2015 22:00;HUB;VE01993874;670331 - Ghibli Szállítmányozási Kft.;48;25242 | Edwin Deutgen Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MYD - 817;WAF - 788;0;;;05.08.2015 10:32;06.08.2015;07:00 - 15:00;11.08.2015;00:00 - 04:00;14;consignment collected;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240140;1;12.08.2015 11:00;LTL;VE01994284;97303889 - EKOL Logistics Kft.;48;45348 | Ames Aleaciones de Metales;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;05.08.2015 09:15;06.08.2015;08:00 - 16:30;12.08.2015;10:00 - 11:00;19;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240523;2;08.08.2015 22:00;HUB;VE01994128;670331 - Ghibli Szállítmányozási Kft.;48;20677 | Sinterwerke Herne GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MYD - 817;WAF - 788;0;;;05.08.2015 10:28;06.08.2015;08:00 - 16:00;11.08.2015;00:00 - 04:00;13;Goods Receipt handling location;Load assigned;13
